"filename", "language", "pip requirements", "Python", "Shell Script", "JavaScript", "XML", "PostCSS", "Markdown", "HTML", "Ignore", "Docker", "comment", "blank", "total"
"/home/boba2323/crumpet/fts-full/ftscore/fts_app/models.py", "Python", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 42, 46, 200
"/home/boba2323/crumpet/fts-full/ftscore/fts_app/permissions.py", "Python", 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 22, 37, 198
"/home/boba2323/crumpet/fts-full/ftscore/fts_app/query_tests.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 13
"/home/boba2323/crumpet/fts-full/ftscore/fts_app/serializers.py", "Python", 0, 318, 0, 0, 0, 0, 0, 0, 0, 0, 83, 81, 482
"/home/boba2323/crumpet/fts-full/ftscore/fts_app/service_layer/__init__.py", "Python", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4
"/home/boba2323/crumpet/fts-full/ftscore/fts_app/service_layer/services.py", "Python", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/home/boba2323/crumpet/fts-full/ftscore/fts_app/storage_backends.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/home/boba2323/crumpet/fts-full/ftscore/fts_app/templates/fts_app/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/boba2323/crumpet/fts-full/ftscore/fts_app/templates/fts_app/listtag.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 7
"/home/boba2323/crumpet/fts-full/ftscore/fts_app/templates/fts_app/tag.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/boba2323/crumpet/fts-full/ftscore/fts_app/tests.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 12
"/home/boba2323/crumpet/fts-full/ftscore/fts_app/urls.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 16
"/home/boba2323/crumpet/fts-full/ftscore/fts_app/views.py", "Python", 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 63, 57, 270
"/home/boba2323/crumpet/fts-full/ftscore/ftssite/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/boba2323/crumpet/fts-full/ftscore/ftssite/asgi.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"/home/boba2323/crumpet/fts-full/ftscore/ftssite/settings.py", "Python", 0, 232, 0, 0, 0, 0, 0, 0, 0, 0, 76, 75, 383
"/home/boba2323/crumpet/fts-full/ftscore/ftssite/storage_backends.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/home/boba2323/crumpet/fts-full/ftscore/ftssite/urls.py", "Python", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 33, 14, 77
"/home/boba2323/crumpet/fts-full/ftscore/ftssite/wsgi.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"/home/boba2323/crumpet/fts-full/ftscore/manage.py", "Python", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 23
"/home/boba2323/crumpet/fts-full/ftscore/permissions/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/boba2323/crumpet/fts-full/ftscore/permissions/admin.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/home/boba2323/crumpet/fts-full/ftscore/permissions/apps.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/home/boba2323/crumpet/fts-full/ftscore/permissions/migrations/0001_initial.py", "Python", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 58
"/home/boba2323/crumpet/fts-full/ftscore/permissions/migrations/0002_alter_teammembership_unique_together_and_more.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 24
"/home/boba2323/crumpet/fts-full/ftscore/permissions/migrations/0003_alter_team_leader_and_more.py", "Python", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 27
