"filename", "language", "XML", "JavaScript JSX", "PostCSS", "Ignore", "comment", "blank", "total"
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Modal/ModalSearch.jsx", "JavaScript JSX", 0, 91, 0, 0, 1, 3, 95
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Modification/Modification.jsx", "JavaScript JSX", 0, 115, 0, 0, 6, 14, 135
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Pagination/PaginationSticker.jsx", "JavaScript JSX", 0, 43, 0, 0, 0, 3, 46
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/RemoveYourself/RemoveYourself.jsx", "JavaScript JSX", 0, 36, 0, 0, 0, 5, 41
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/RightBar/Rightbar.jsx", "JavaScript JSX", 0, 99, 0, 0, 18, 11, 128
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/SelectInputs/SelectInput.jsx", "JavaScript JSX", 0, 50, 0, 0, 7, 5, 62
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Sidebar/Sidebar.jsx", "JavaScript JSX", 0, 83, 0, 0, 10, 12, 105
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/SpaceBetweenFields/Space2.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 4, 12
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Team/CreateTeamNonSup.jsx", "JavaScript JSX", 0, 413, 0, 0, 20, 34, 467
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Team/DeleteSelfMembership.jsx", "JavaScript JSX", 0, 53, 0, 0, 0, 8, 61
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Team/Team.jsx", "JavaScript JSX", 0, 138, 0, 0, 9, 17, 164
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Team/TeamView.jsx", "JavaScript JSX", 0, 351, 0, 0, 27, 38, 416
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/TestComp/Test.jsx", "JavaScript JSX", 0, 0, 0, 0, 18, 4, 22
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/UsersList/UserList.jsx", "JavaScript JSX", 0, 122, 0, 0, 18, 17, 157
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/UtilsErrorRendering/BelongsToTeam.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 4, 21
