"filename", "language", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Team/CreateTeamNonSup.jsx", "JavaScript JSX", 413, 0, 20, 34, 467
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Team/DeleteSelfMembership.jsx", "JavaScript JSX", 53, 0, 0, 8, 61
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Team/Team.jsx", "JavaScript JSX", 138, 0, 9, 17, 164
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Team/TeamView.jsx", "JavaScript JSX", 351, 0, 27, 38, 416
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/TestComp/Test.jsx", "JavaScript JSX", 0, 0, 18, 4, 22
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/UsersList/UserList.jsx", "JavaScript JSX", 122, 0, 18, 17, 157
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/UtilsErrorRendering/BelongsToTeam.jsx", "JavaScript JSX", 17, 0, 0, 4, 21
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/UtilsErrorRendering/ErrorRenderHandle.jsx", "JavaScript JSX", 34, 0, 5, 3, 42
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Workspace/Workspace.jsx", "JavaScript JSX", 94, 0, 3, 8, 105
"Total", "-", 4631, 0, 328, 495, 5454
